Namespace(co_lambda=0.65, dataset='CARS', epoch_decay_start=80, exponent=1, forget_rate=None, lr=5e-05, model_type='B', n_epoch=50, noise_rate=0.7, noise_type='symmetric', num_gradual=10, num_workers=4, print_freq=50, result_dir='results', seed=1, top_bn=False)
iter train_acc1 train_acc2 val_p11 val_map1 val_p12 val_map2 test_acc1 test_map1 test_acc2 test_map2
32 28.0 27.75 0.5533234126984127 0.08864573335589189 0.5372023809523809 0.0875021014857231 0 0 0 0
33 27.875 27.8375 0.5498511904761905 0.08881450768478 0.5389384920634921 0.08693510672843004 0 0 0 0
34 28.075 28.2125 0.5471230158730159 0.0888446296305822 0.5416666666666666 0.08836440535730643 0 0 0 0
35 28.45 28.1 0.5416666666666666 0.0887777384462907 0.5396825396825397 0.08714568458379467 0 0 0 0
36 28.275 28.675 0.5483630952380952 0.08741270438357235 0.5426587301587301 0.08744644954541372 0 0 0 0
37 28.6125 28.675 0.5443948412698413 0.08802283505338832 0.5414186507936508 0.08684896002106386 0 0 0 0
38 28.225 28.65 0.5438988095238095 0.08761269642343962 0.5399305555555556 0.08672151560615485 0 0 0 0
39 28.9125 28.8625 0.5453869047619048 0.08757666540434145 0.5374503968253969 0.0877223113953425 0 0 0 0
40 28.55 28.55 0.5386904761904762 0.08637630798625932 0.5386904761904762 0.08730381099096168 0 0 0 0
41 28.7875 28.675 0.5404265873015873 0.08681036433028026 0.5329861111111112 0.08610866989428306 0 0 0 0
42 29.0125 29.3375 0.5401785714285714 0.08640826066222017 0.5327380952380952 0.08580776879287809 0 0 0 0
43 29.0 28.8875 0.5416666666666666 0.08606844237836829 0.5357142857142857 0.08583690167401017 0 0 0 0
44 28.9125 28.8375 0.5416666666666666 0.08623513718994917 0.5364583333333334 0.08614936228568167 0 0 0 0
45 28.875 28.65 0.5419146825396826 0.0863737162623758 0.5367063492063492 0.08629549029963338 0 0 0 0
46 29.175 29.1625 0.5386904761904762 0.08552631293703843 0.5324900793650794 0.08572124592154505 0 0 0 0
47 28.925 29.2625 0.5376984126984127 0.08604303968065143 0.5369543650793651 0.0860297433496409 0 0 0 0
48 28.8375 28.6 0.5376984126984127 0.08602212560380366 0.5307539682539683 0.08554257868011865 0 0 0 0
49 29.2625 29.2875 0.5399305555555556 0.08676796608868924 0.5349702380952381 0.0866531267324169 0 0 0 0
best epochs: 15, val_p1= 0.5618, test_p1= 0.5913, test_map= 0.1065
